id,name,type,total_value
359,cash_pickup_maize_bundle_1_acre,Paid Upfront,7899.00
362,loan_pickup_maize_bundle_0.5acres,Loan,4960.00
366,cash_pickup_urea_boost_0.5_acre,Paid Upfront,1599.00
367,cash_pickup_urea_boost_1_acre,Paid Upfront,2899.00
370,loan_pickup_urea_boost_0.5_acre,Loan,1741.00
371,loan_pickup_urea_boost_1_acre,Loan,3163.00
372,cash_delivery_can_boost_1.5_acre,Paid Upfront,3900.00
376,loan_pickup_can_boost_1.5_acre,Loan,3276.00
380,loan_pickup_can_4.5_acres,Loan,11990.00
381,loan_pickup_can_boost_0.5_acre,Loan,1485.00
382,cash_pickup_can_boost_0.5_acre,Paid Upfront,1350.00
383,loan_pickup_dap_boost_0.5_acre,Loan,1980.00
384,loan_pickup_dap_boost_1_acre,Loan,3795.00
388,cash_pickup_dap_boost_1_acre,Paid Upfront,3450.00
390,Havillah_Loan_test,Loan,21.00
391,loan_pickup_urea_1_acre_can_0.5_acre,Loan,3997.00
392,loan_pickup_can_7_acres,Loan,18480.00
395,Loan_dap_6kg,Loan,21.00
396,Loan_dap_6kg Copy,Loan,470.00
398,irine_test_shinoyi,Paid Upfront,2.00
404,cash_pick_up_test_10_kak,Paid Upfront,10.00
406,Group Loan _ Old,Loan,27.00
408,SunKing Boom PayGo-Enabled - PayGo Loan_OLD_21_07_21,Loan,6223.00
409,SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan_OLD_21_07_21,Loan,10230.00
410,OLD-Changed-1/31/22-SunKing Pro PayGo-Enabled - PayGo Loan,Loan,4450.00
411,OLD-Changed-1/31/22-Biolite Home System PayGo-Enabled - PayGo Loan,Loan,12695.00
413,OLD-updated:2/2/22-SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan,Loan,12940.00
414,Product Repayment Model 1,Loan,195.00
415,Product Repayment model 2,Loan,195.00
416,Product Repayment model 3,Loan,195.00
417,Product Repayment model 4,Loan,195.00
418,Product Repayment model 5,Loan,251.00
419,Group Loan 30th Jan_22,Loan,20.64
421,SunKing Boom PayGo-Enabled - PayGo Loan - IPP,Loan,7816.00
422,SunKing Pro PayGo-Enabled - PayGo Loan - IPP,Loan,5559.00
423,Biolite Home System PayGo-Enabled - PayGo Loan - IPP,Loan,15408.00
425,IHD Pilot - IPP,Loan,308.00
430,[Credit Score Test] Individual Loan - IPP,Loan,8.00
435,SunKing Pro PayGo-Enabled - PayGo Loan,Loan,5559.00
439,IHD Pilot,Loan,308.00
458,Individual Loan - IHD,Loan,8.00
441,Individual Loan IPP - Old,Loan,8.00
432,Individual Loan_Old,Loan,12857.14
453,Individual Loan with SHS - Sun King Mumias,Loan,11.86
420,Group Loan 7th Mar 2022,Loan,14.14
437,Energy; Sun King Boom - Paygo Enabled [Stock] - PayGo Loan,Loan,7816.00
438,SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan,Loan,16046.00
433,Energy; Biolite Home System PayGo - Enabled [Stock] - PayGo Loan,Loan,15408.00
407,Cash Sales IPP,Paid Upfront,
456,Energy; Sun King Boom - Paygo Enabled [Stock] - Cash sales with Solar light,Paid Upfront,
460,Energy; Sun King Boom - Paygo Enabled [Stock] - PayGo Loan IHD,Loan,7816.00
424,SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan IPP,Loan,16046.00
448,Individual Loan with SHS - Biolite Mumias,Loan,11.86
434,Group Loan 3rd October 2022,Loan,16.14
412,OLD<>Changed-1/31/22-SunKing Boom PayGo-Enabled - PayGo Loan,Loan,6360.00
455,SunKing Home System (incl.Radio) - Cash sales with Solar light,Paid Upfront,
461,SunKing Pro PayGo-Enabled - PayGo Loan - IHD,Loan,5559.00
471,Energy; Sun King Pro Paygo-enabled [Stock] - Cash Sales with Solar light,Paid Upfront,
473,Energy; Sun King Solar Home System [Stock] - Cash sales with Solar light,Paid Upfront,
475,Energy; Sun King Pro Paygo-enabled [Stock] - Paygo Loan IHD,Loan,5559.00
480,Energy; Sun King Solar Home System-PAYGO [Stock] - PayGo Loan IHD,Loan,12508.00
469,Biolite Home System PayGo-Enabled - Cash sales with Solar light IPP,Paid Upfront,
472,Energy; Biolite Home System PayGo - Enabled [Stock] - Cash sales with Solar light,Paid Upfront,
463,SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan IHD,Loan,16046.00
468,Energy; Sun King Pro Paygo-enabled [Stock] - Cash sales with Solar light IPP,Paid Upfront,
462,Energy; Biolite Home System PayGo - Enabled [Stock] - PayGo Loan IHD,Loan,15408.00
465,Energy; Sun King Pro Paygo-enabled [Stock] - Paygo Loan,Loan,5559.00
484,SunKing Home System (incl.Radio) PayGo-Enabled - PayGo Loan Duka,Loan,16046.00
467,Energy; Sun King Solar Home System-PAYGO [Stock] - PayGo Loan,Loan,12508.00
459,Cash Sales IHD,Paid Upfront,
476,Energy; Sun King Solar Home System-PAYGO [Stock] - PayGo Loan IHD,Loan,12508.00
470,Energy; Sun King Solar Home System [Stock] - Cash Sales with Solar light IPP,Paid Upfront,
436,Cash Sales,Paid Upfront,
488,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo One Pump,Loan,17513.00
405,Individual Loan IPP,Loan,8.00
483,Energy; Sun King Boom - Paygo Enabled [Stock] - Paygo Loan Duka,Loan,7816.00
489,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo Two Pumps,Loan,35026.00
481,Individual Loan IPP,Loan,11.86
477,SunKing Home System (incl.Radio) - Cash sales with Solar light IHD,Paid Upfront,
486,Energy; Biolite Home System PayGo - Enabled [Stock] - PayGo Loan Duka,Loan,15408.00
431,Group Loan  IPP,Loan,11.79
485,Energy; Sun King Pro Paygo-enabled [Stock] - Paygo Loan Duka,Loan,5559.00
464,Individual loan 3rd October 2022,Loan,11.86
466,Energy; Sun King Boom - Paygo Enabled [Stock] - Paygo Loan - Old,Loan,7816.00
479,Energy; Biolite Home System PayGo - Enabled [Stock] - Cash sales with Solar light IHD,Paid Upfront,
482,Individual Loan IHD 3rd October 2022,Loan,11.86
478,Energy; Sun King Boom - Paygo Enabled [Stock] - Cash sales with Solar light IHD,Paid Upfront,
490,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo Three Pumps,Loan,52511.00
491,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo Four Pumps,Loan,70028.00
492,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo Five Pumps,Loan,87509.00
90,OLD_loan_delivery_maize_bundle_1_acre,Loan,8620.00
507,Group Loan IHD 3rd October 2022,Loan,16.14
513,Energy; Biolite Home System [Stock] - Duka SHS Cash Sales,Paid Upfront,
512,Energy; Biolite Home System [Stock] - Vihiga SHS Cash Sales,Paid Upfront,
443,Energy; Sun King Boom - Paygo Enabled [Stock] - Paygo Loan IPP,Loan,7816.00
445,Biolite Home System PayGo-Enabled - PayGo Loan IPP,Loan,15408.00
493,Manual pump; MoneyMaker Hip Kit [Stock] - Paygo Six Pumps,Loan,105022.00
508,Individual Loan Duka Credit,Loan,11.86
494,Manual pump; MoneyMaker Max Kit [Stock] - Paygo One Pump,Loan,25488.00
495,Manual pump; MoneyMaker Max Kit [Stock] - Paygo Two Pumps,Loan,50976.00
496,Manual pump; MoneyMaker Max Kit [Stock] - Paygo Three Pumps,Loan,76492.00
