id,contract_reference,payment_date,type,amount_paid
175868,C45230018,2021-12-10T01:01:27.394587,Manual Discount,0.00
175869,C43100015,2021-12-10T01:01:38.526152,Manual Discount,0.00
175871,C42790014,2021-12-10T01:01:51.943412,Manual Discount,0.00
175873,C46430013,2021-12-10T01:02:06.948408,Manual Discount,0.00
175874,C46630018,2021-12-10T01:02:13.030291,Manual Discount,0.00
175875,C45880010,2021-12-10T01:02:19.322548,Manual Discount,0.00
176330,C37840014,2021-12-10T07:13:44.538849,Manual Delay,0.00
177801,C43320019,2021-12-10T14:09:58.640824,,500.00
178191,C41870015,2021-12-11T01:01:27.878374,Manual Discount,0.00
178195,C43120013,2021-12-11T01:01:51.257807,Manual Discount,0.00
178198,C48460018,2021-12-11T01:02:15.389524,Manual Discount,0.00
178570,C49700016,2021-12-11T07:02:00.606219,,600.00
178624,C46290011,2021-12-10T10:48:42.940829,,27.00
178640,C46290011,2021-12-11T07:25:49.89397,,18.00
179358,C57070013,2021-12-11T17:10:56.206581,,400.00
179490,C46840013,2021-12-11T18:40:22.921465,,200.00
179557,C37840014,2021-12-12T01:01:18.5728,Manual Discount,0.00
179898,C51350015,2021-12-12T13:33:57.474921,,200.00
180224,C55130017,2021-12-12T19:41:35.696949,,500.00
180246,C45960010,2021-12-13T01:01:33.988498,Manual Discount,0.00
180248,C51350015,2021-12-13T01:01:46.657645,Manual Discount,0.00
180249,C45090016,2021-12-13T01:01:52.392257,Manual Discount,0.00
180253,C48560015,2021-12-13T01:02:14.505502,Manual Discount,0.00
180254,C42800011,2021-12-13T01:02:20.236549,Manual Discount,0.00
180259,C51760015,2021-12-13T01:02:48.553844,Manual Discount,0.00
180262,C46840013,2021-12-13T01:03:04.626269,Manual Discount,0.00
180263,C42710012,2021-12-13T01:03:10.568953,Manual Discount,0.00
180269,C46690012,2021-12-13T01:03:43.751329,Manual Discount,0.00
180924,C46840013,2021-12-13T12:52:51.74159,,200.00
181044,C46840013,2021-12-13T15:22:47.621061,,11.00
181409,C50100015,2021-12-14T01:02:04.004508,Manual Discount,0.00
181410,C53310017,2021-12-14T01:02:10.411254,Manual Discount,0.00
181415,C46370011,2021-12-14T01:02:42.697637,Manual Discount,0.00
181417,C44460012,2021-12-14T01:02:59.975433,Manual Discount,0.00
184163,C44910016,2021-12-15T01:02:17.559942,Manual Discount,0.00
184164,C51020014,2021-12-15T01:02:25.073357,Manual Discount,0.00
184168,C51460012,2021-12-15T01:02:53.001482,Manual Discount,0.00
184169,C44510014,2021-12-15T01:03:06.810733,Manual Discount,0.00
184171,C56390016,2021-12-15T01:03:22.58661,Manual Discount,0.00
184175,C57100018,2021-12-15T01:03:52.844881,Manual Discount,0.00
184411,C77030013,2021-12-15T06:02:53.189747,,35.00
185315,C46840013,2021-12-15T10:24:21.662896,,6.00
185623,C65810012,2021-12-15T12:31:18.862411,,200.00
186494,C51420016,2021-12-16T01:02:02.886686,Manual Discount,0.00
186502,C49940018,2021-12-16T01:02:51.58316,Manual Discount,0.00
186504,C43670017,2021-12-16T01:03:04.484292,Manual Discount,0.00
186509,C47390018,2021-12-16T01:03:34.922822,Manual Discount,0.00
186511,C43270016,2021-12-16T01:03:46.832437,Manual Discount,0.00
186513,C53890018,2021-12-16T01:03:58.774787,Manual Discount,0.00
187354,C46840013,2021-12-16T10:12:38.904124,,8.00
188447,C53890018,2021-12-16T18:24:43.827002,,2100.00
188544,C42610014,2021-12-17T01:01:54.061079,Manual Discount,0.00
188545,C44770014,2021-12-17T01:02:00.85428,Manual Discount,0.00
188549,C61160016,2021-12-17T01:02:24.223203,Manual Discount,0.00
188551,C60460011,2021-12-17T01:02:39.883576,Manual Discount,0.00
188552,C45500014,2021-12-17T01:02:45.789705,Manual Discount,0.00
188553,C53670014,2021-12-17T01:02:52.068616,Manual Discount,0.00
188554,C51740017,2021-12-17T01:02:57.933448,Manual Discount,0.00
188556,C45050010,2021-12-17T01:03:12.505495,Manual Discount,0.00
188557,C45160017,2021-12-17T01:03:20.965823,Manual Discount,0.00
188560,C50770015,2021-12-17T01:03:39.990572,Manual Discount,0.00
188562,C43440015,2021-12-17T01:03:51.64172,Manual Discount,0.00
188565,C53830014,2021-12-17T01:04:09.688405,Manual Discount,0.00
188567,C59610014,2021-12-17T01:04:21.023863,Manual Discount,0.00
188568,C45120011,2021-12-17T01:04:26.649694,Manual Discount,0.00
